metric_label,n,rho_mos_rating,neg_rho_mos_rating,p_mos_rating,verdict
kNN_MMD_dc_ae_l10_k1,480,0.10848310973571931,-0.10848310973571931,0.01742715735116354,neutre
kNN_MMD_dc_ae_l10_k5,480,0.10358269784157048,-0.10358269784157048,0.023233426520189213,neutre
kNN_MMD_dc_ae_l10_k10,480,0.10464097066393516,-0.10464097066393516,0.021854379119461812,neutre
kNN_MMD_dc_ae_l10_k25,480,0.030681339762759385,-0.030681339762759385,0.5024755388646337,neutre
kNN_MMD_dc_ae_l10_k50,480,0.021875963003311644,-0.021875963003311644,0.6325890437551017,neutre
kNN_MMD_dc_ae_l10_k100,480,0.023266485531621226,-0.023266485531621226,0.6111146962510146,neutre
kNN_MMD_dc_ae_l10_k200,480,0.017673796327241004,-0.017673796327241004,0.6993233254397424,neutre
kNN_MMD_dc_ae_l10_k500,480,0.06705052973320196,-0.06705052973320196,0.14242381253754327,neutre
MMDpt_dc_ae_l10_global,480,0.0677148943992764,-0.0677148943992764,0.13850223452731453,neutre
kNN_MMD_CLIP_ViT-L14_k1,480,-0.22836362136988442,0.22836362136988442,4.256193072090155e-07,partiel
kNN_MMD_CLIP_ViT-L14_k5,480,-0.23154278013359433,0.23154278013359433,2.905257160028206e-07,partiel
kNN_MMD_CLIP_ViT-L14_k10,480,-0.22650814456659962,0.22650814456659962,5.305243100388841e-07,partiel
kNN_MMD_CLIP_ViT-L14_k25,480,-0.25483563296715694,0.25483563296715694,1.4930251743568894e-08,partiel
kNN_MMD_CLIP_ViT-L14_k50,480,-0.26563320587328937,0.26563320587328937,3.3987040898406677e-09,partiel
kNN_MMD_CLIP_ViT-L14_k100,480,-0.2621784382744717,0.2621784382744717,5.497138151789789e-09,partiel
kNN_MMD_CLIP_ViT-L14_k200,480,-0.2481560249827473,0.2481560249827473,3.607644836964317e-08,partiel
kNN_MMD_CLIP_ViT-L14_k500,480,-0.24674336694169677,0.24674336694169677,4.333671995200399e-08,partiel
CMMDpt_CLIP_ViT-L14_global,480,-0.24248445088737358,0.24248445088737358,7.481598083249485e-08,partiel
